artifact_path,artifact_kind,included_in_canonical_zip,publication_mode,reason
outputs/capability_execution_audit/processed/company_scores.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/data_freshness_summary.json,json,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/decision_journal_validation.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/decision_quality_state.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/decision_quality_state.json,json,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/decision_review_queue.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/fundamentals_enriched.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/monthly_buy_ranking.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/monthly_portfolio_decision_brief.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/monthly_portfolio_decision_brief.json,json,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/personal_cash_refill_review.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/personal_decision_state_capture.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/personal_input_closure_report.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/personal_rebalance_review.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/portfolio_holdings_action_table.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/positions_snapshot.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/rebalance_proposals.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/review_queue_summary.json,json,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/score_audit.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/processed/watchlist_ranked.csv,csv,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/2026-05-31/data_freshness_summary.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/2026-05-31/decision_journal_validation_report.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/2026-05-31/decision_quality_report.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/2026-05-31/monthly_portfolio_decision_brief.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/2026-05-31/personal_cash_refill_review.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/2026-05-31/personal_decision_state_capture_report.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/2026-05-31/personal_input_closure_report.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/2026-05-31/personal_monthly_decision_report.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/2026-05-31/personal_rebalance_review.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/sample/portfolio_snapshot.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
outputs/capability_execution_audit/reports/sample/watchlist_report.md,md,False,summarized_only,Generated/local audit output is summarized to avoid publishing private/raw/generated portfolio data.
